id,title,description,status,priority,assignee,sprint,order,createdAt,updatedAt,comments,history
1,Design homepage UI,Create wireframes for the homepage,Ready for Release,High,,Sprint 1,0,2025-03-20T08:00:00.000Z,2025-03-21T22:28:03.725Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T08:00:00.000Z""},{""action"":""Status changed from ToDo to Ready for Release"",""timestamp"":""2025-03-21T22:28:03.725Z""}]"
2,Set up CI/CD pipeline,Configure GitHub Actions for CI/CD,ToDo,Medium,,Sprint 1,1,2025-03-20T08:15:00.000Z,2025-03-21T22:28:03.391Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T08:15:00.000Z""},{""action"":""Status changed from ToDo to Ready for QA"",""timestamp"":""2025-03-21T22:27:51.741Z""},{""action"":""Status changed from Ready for QA to ToDo"",""timestamp"":""2025-03-21T22:27:54.108Z""}]"
3,Add user profile page,Implement user profile page with React,ToDo,Low,,Sprint 1,1,2025-03-20T08:30:00.000Z,2025-03-21T22:28:03.473Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T08:30:00.000Z""},{""action"":""Status changed from ToDo to Ready for QA"",""timestamp"":""2025-03-21T22:27:59.900Z""},{""action"":""Status changed from Ready for QA to ToDo"",""timestamp"":""2025-03-21T22:28:03.473Z""}]"
4,Fix login bug,Resolve issue with login authentication,ToDo,High,,Sprint 1,2,2025-03-20T08:45:00.000Z,2025-03-21T22:28:03.546Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T08:45:00.000Z""},{""action"":""Status changed from ToDo to Ready for Release"",""timestamp"":""2025-03-21T22:27:54.282Z""},{""action"":""Status changed from Ready for Release to ToDo"",""timestamp"":""2025-03-21T22:27:59.734Z""}]"
5,Write API documentation,Document the REST API endpoints,ToDo,Medium,,Sprint 1,3,2025-03-20T09:00:00.000Z,2025-03-21T22:28:03.615Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T09:00:00.000Z""}]"
6,Implement payment gateway,Integrate Stripe for payments,In Progress,High,Alice,Sprint 1,0,2025-03-20T09:15:00.000Z,2025-03-21T09:00:00.000Z,"[{""text"":""Working on Stripe integration"",""timestamp"":""2025-03-21T09:00:00.000Z""}]","[{""action"":""Created"",""timestamp"":""2025-03-20T09:15:00.000Z""},{""action"":""Status changed from ToDo to In Progress"",""timestamp"":""2025-03-21T09:00:00.000Z""},{""action"":""Assignee changed from Unassigned to Alice"",""timestamp"":""2025-03-21T09:00:00.000Z""}]"
7,Optimize database queries,Improve performance of user queries,In Progress,Medium,,Sprint 1,1,2025-03-20T09:30:00.000Z,2025-03-21T09:15:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T09:30:00.000Z""},{""action"":""Status changed from ToDo to In Progress"",""timestamp"":""2025-03-21T09:15:00.000Z""}]"
8,Add email notifications,Implement email notifications for user actions,Ready for Review,Medium,Bob,Sprint 1,0,2025-03-20T09:45:00.000Z,2025-03-21T09:30:00.000Z,"[{""text"":""Ready for review, please check the email template"",""timestamp"":""2025-03-21T09:30:00.000Z""}]","[{""action"":""Created"",""timestamp"":""2025-03-20T09:45:00.000Z""},{""action"":""Status changed from ToDo to Ready for Review"",""timestamp"":""2025-03-21T09:30:00.000Z""},{""action"":""Assignee changed from Unassigned to Bob"",""timestamp"":""2025-03-21T09:30:00.000Z""}]"
9,Test email service,Write tests for email notifications,Ready for Review,Low,,Sprint 1,1,2025-03-20T10:00:00.000Z,2025-03-21T09:45:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T10:00:00.000Z""},{""action"":""Status changed from ToDo to Ready for Review"",""timestamp"":""2025-03-21T09:45:00.000Z""}]"
10,Fix UI bug,Resolve alignment issue on dashboard,Ready for Review,High,,Sprint 1,2,2025-03-20T10:15:00.000Z,2025-03-21T10:00:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T10:15:00.000Z""},{""action"":""Status changed from ToDo to Ready for Review"",""timestamp"":""2025-03-21T10:00:00.000Z""}]"
11,Run performance tests,Test app performance under load,Ready for QA,High,,Sprint 1,0,2025-03-20T10:30:00.000Z,2025-03-21T10:15:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T10:30:00.000Z""},{""action"":""Status changed from ToDo to Ready for QA"",""timestamp"":""2025-03-21T10:15:00.000Z""}]"
12,Validate form inputs,Add client-side validation to forms,Ready for QA,Medium,,Sprint 1,1,2025-03-20T10:45:00.000Z,2025-03-21T10:30:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T10:45:00.000Z""},{""action"":""Status changed from ToDo to Ready for QA"",""timestamp"":""2025-03-21T10:30:00.000Z""}]"
13,Update user permissions,Modify permissions for admin users,Ready for QA,Low,,Sprint 1,2,2025-03-20T11:00:00.000Z,2025-03-21T10:45:00.000Z,[],"[{""action"":""Created"",""timestamp"":""2025-03-20T11:00:00.000Z""},{""action"":""Status changed from ToDo to Ready for QA"",""timestamp"":""2025-03-21T10:45:00.000Z""}]"
